IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
BTQ,Butare Airport,Butare,Southern Province,RW,-2.59583,29.7367
KGL,Kigali International Airport,Kigali,Kigali,RW,-1.96863,30.1395
RHG,Ruhengeri Airport,Ruhengeri,Northern Province,RW,-1.5,29.633
KME,Kamembe Airport,Kamembe,Western Province,RW,-2.46224,28.9079
ATB,Atbara Airport,Atbara,,SD,17.71034,34.05702
EDB,El Debba Airport,El Debba,,SD,18.025,30.9583
DOG,Dongola Airport,Dongola,Northern State,SD,19.1539,30.4301
RSS,Damazin Airport,Ad Damazin,Blue-Nile,SD,11.7859,34.3367
ELF,El Fasher Airport,El Fasher,Northern Darfur,SD,13.6149,25.3246
GSU,Azaza Airport,Gedaref,,SD,14.133,35.317
DNX,Galegu Airport,Dinder,,SD,12.533,35.067
EGN,Geneina Airport,Geneina,Western Darfur,SD,13.4817,22.4672
KSL,Kassala Airport,Kassala,Kassala,SD,15.3875,36.3288
GBU,Khashm El Girba Airport,Khashm El Girba,,SD,14.925,35.878
KST,Kosti Airport,Kosti,White-Nile,SD,13.183,32.733
KDX,Kadugli Airport,Kadugli,Southern Kordofan,SD,11.138,29.7011
RBX,Rumbek Airport,Rumbek,,SS,6.825,29.669
MWE,Merowe Airport,Merowe,Northern State,SD,18.45,31.833
NUD,En Nahud Airport,En Nahud,West Kordofan State,SD,12.667,28.333
UYL,Nyala Airport,Nyala,Southern Darfur,SD,12.0535,24.9562
NHF,New Halfa Airport,New Halfa,Kassala,SD,15.3556,35.7278
EBD,El Obeid Airport,Al-Ubayyid,North Kordofan,SD,13.1532,30.2327
PZU,Port Sudan New International Airport,Port Sudan,Red-Sea,SD,19.4336,37.2341
JUB,Juba Airport,Juba,,SS,4.87201,31.6011
KRT,Khartoum International Airport,Khartoum,Khartoum,SD,15.59033,32.553
MAK,Malakal Airport,Malakal,,SS,9.55897,31.6522
WHF,Wadi Halfa Airport,Wadi Halfa,Northern State,SD,21.8027,31.52158
WUU,Wau Airport,Wau,,SS,7.72583,27.975
ZLX,Zalingei Airport,Zalingei,Central Darfur,SD,12.9,23.483
ARK,Arusha Airport,Arusha,Arusha,TZ,-3.36779,36.6333
BKZ,Bukoba Airport,Bukoba,Kagera,TZ,-1.332,31.8212
DAR,Mwalimu Julius K. Nyerere International Airport,Dar es Salaam,Dar-es-Salaam,TZ,-6.87811,39.2026
DOD,Dodoma Airport,Dodoma,Dodoma,TZ,-6.17044,35.7526
IRI,Iringa Airport,Nduli,Iringa,TZ,-7.66863,35.7521
TKQ,Kigoma Airport,Kigoma,Kigoma,TZ,-4.8862,29.6709
KIY,Kilwa Masoko Airport,Kilwa Masoko,Lindi,TZ,-8.933,39.517
JRO,Kilimanjaro International Airport,Arusha,Kilimanjaro,TZ,-3.42941,37.0745
LDI,Kikwetu Airport,Lindi,Lindi,TZ,-9.85111,39.7578
LKY,Lake Manyara Airport,Lake Manyara National Park,Arusha,TZ,-3.37631,35.8183
MFA,Mafia Island Airport,Mafia Island,Pwani,TZ,-7.917,39.667
MBI,Mbeya Airport,Mbeya,Mbeya,TZ,-8.917,33.467
MWN,Mwadui Airport,Mwadui,Shinyanga,TZ,-3.5,33.617
XMI,Masasi Airport,Masasi,Mtwara,TZ,-10.733,38.767
MYW,Mtwara Airport,Mtwara,Mtwara,TZ,-10.3391,40.1818
MUZ,Musoma Airport,Musoma,Mara,TZ,-1.503,33.8021
MWZ,Mwanza Airport,Mwanza,Mwanza,TZ,-2.44449,32.9327
NCH,Nachingwea Airport,Nachingwea,Lindi,TZ,-10.3575,38.7792
JOM,Njombe Airport,Njombe,Njombe,TZ,-9.35,34.8
PMA,Pemba Airport,Chake,Pemba-South,TZ,-5.25726,39.8114
SEU,Seronera Airport,Seronera,Mara,TZ,-2.45806,34.8225
SGX,Songea Airport,Songea,Ruvuma,TZ,-10.683,35.583
SUT,Sumbawanga Airport,Sumbawanga,Rukwa,TZ,-7.967,31.667
SHY,Shinyanga Airport,Shinyanga,Shinyanga,TZ,-3.6093,33.5035
TBO,Tabora Airport,Tabora,Tabora,TZ,-5.07639,32.8333
TGT,Tanga Airport,Tanga,Tanga,TZ,-5.09236,39.0712
ZNZ,Zanzibar Airport,Kiembi Samaki,Zanzibar-Urban/West,TZ,-6.22202,39.2249
RUA,Arua Airport,Arua,Northern Region,UG,3.05,30.917
EBB,Entebbe International Airport,Kampala,Central Region,UG,0.04239,32.4435
ULU,Gulu Airport,Gulu,Northern Region,UG,2.80556,32.2718
JIN,Jinja Airport,Jinja,Eastern Region,UG,0.45,33.2
KBG,Kabalega Falls Airport,Kabalega Falls,Northern Region,UG,2.32639,31.4978
KSE,Kasese Airport,Kasese,Western Region,UG,0.183,30.1
MBQ,Mbarara Airport,Mbarara,Western Region,UG,-0.55528,30.5994
KCU,Masindi Airport,Masindi,Western Region,UG,1.75806,31.7367
PAF,Pakuba Airport,,Western Region,UG,2.20222,31.55444
SRT,Soroti Airport,Soroti,Eastern Region,UG,1.72769,33.6228
TRY,Tororo Airport,Tororo,Eastern Region,UG,0.683,34.167
AMK,Animas Air Park,Durango,Colorado,US,37.20318,-107.8692
BDX,Broadus Airport,Broadus,Montana,US,45.47047,-105.45714
EUE,Eureka Airport,Eureka,Nevada,US,39.60375,-116.00361
KPT,Jackpot/Hayden Field,Jackpot,Nevada,US,41.97583,-114.65802
PQS,Pilot Station Airport,Pilot Station,Alaska,US,61.96148,-162.94235
FID,Elizabeth Field,Fishers Island,New York,US,41.25214,-72.03164
RTL,Spirit Lake Municipal Airport,Spirit Lake,Iowa,US,43.38742,-95.13947
HUD,Humboldt Municipal Airport,Humboldt,Iowa,US,42.73486,-94.24547
TWD,Jefferson County International Airport,Port Townsend,Washington,US,48.05381,-122.81064
MVM,Kayenta Airport,Kayenta,Arizona,US,36.71644,-110.22844
HCC,Columbia County Airport,Hudson,New York,US,42.29131,-73.71033
AHD,Ardmore Downtown Executive Airport,Ardmore,Oklahoma,US,34.1,-97.1
GCW,Grand Canyon West Airport,Peach Springs,Arizona,US,35.98611,-113.81692
KKK,Kalakaket Creek Air Station,Kalakaket Creek,Alaska,US,64.4,-156.8
CKE,Lampson Field,Lakeport,California,US,38.99061,-122.90072
ROF,Montague-Yreka Rohrer Field,Montague,California,US,41.72998,-122.54448
MHS,Dunsmuir Municipal-Mott Airport,Dunsmuir,California,US,41.26292,-122.27204
PLY,Plymouth Municipal Airport,Plymouth,New Hampshire,US,43.77825,-71.75385
MIJ,Mili Airport,Mili Island,,MH,6.08333,171.73333
PGC,Grant County Airport,Hyannis,Nebraska,US,42.00999,-101.77006
CNE,Fremont County Airport,Canon City,Colorado,US,38.42856,-105.10685
GCT,Grand Canyon Bar Ten Airstrip,Whitmore,Arizona,US,36.2565,-113.23089
LVD,Lime Village Airport,Lime Village,Alaska,US,61.35913,-155.44039
NWH,Parlin Field,Newport,New Hampshire,US,43.38707,-72.18761
IRB,Iraan Municipal Airport,Iraan,Texas,US,30.90622,-101.88981
ODM,Garrett County Airport,Oakland,Maryland,US,39.58081,-79.33594
TLF,Telida Airport,Telida,Alaska,US,63.37898,-153.28422
GNF,Gansner Field,Quincy,California,US,39.94392,-120.94539
CHZ,Chiloquin State Airport,Chiloquin,Oregon,US,42.57932,-121.87901
LTW,St Mary's County Regional Airport,Leonardtown,Maryland,US,38.31536,-76.55012
USC,"Union County, Troy Shelton Field",Union,South Carolina,US,34.68695,-81.64117
AHF,Arapahoe Municipal Airport,Arapahoe,Nebraska,US,40.34158,-99.90781
PCT,Princeton Airport,Princeton/Rocky Hill,New Jersey,US,40.39909,-74.65901
NRI,Grand Lake Regional Airport,Afton,Oklahoma,US,36.57758,-94.8619
GTP,Grants Pass Airport,Grants Pass,Oregon,US,42.51012,-123.38799
TEH,Tetlin Airport,Tetlin,Alaska,US,63.12469,-142.51856
NLE,Jerry Tyler Memorial Airport,Niles,Michigan,US,41.83589,-86.22517
VRS,Roy Otten Memorial Airfield,Versailles,Missouri,US,38.42827,-92.87526
GCD,Grand Coulee Dam Airport,Electric City,Washington,US,47.92206,-119.083
VLE,Valle Airport,Grand Canyon,Arizona,US,35.65065,-112.14805
NTJ,Manti-Ephraim Airport,Manti,Utah,US,39.33142,-111.61261
SBO,Salina-Gunnison Airport,Salina,Utah,US,39.02913,-111.83826
JVI,Central Jersey Regional Airport,Manville,New Jersey,US,40.52444,-74.59831
ATT,Atmautluak Airport,Atmautluak,Alaska,US,60.86789,-162.27428
LIV,Livengood Camp Airport,Livengood,Alaska,US,65.46727,-148.65375
PDB,Pedro Bay Airport,Pedro Bay,Alaska,US,59.79694,-154.12997
KOZ,Ouzinkie Airport,Ouzinkie,Alaska,US,57.94216,-152.46499
UCE,Eunice Airport,Eunice,Louisiana,US,30.46628,-92.4238
GOL,Gold Beach Municipal Airport,Gold Beach,Oregon,US,42.41536,-124.42492
RNG,Rangely Airport,Rangely,Colorado,US,40.09397,-108.76306
KKT,Kentland Municipal Airport,Kentland,Indiana,US,40.75874,-87.42913
MNT,Minto Al Wright Airport,Minto,Alaska,US,65.14817,-149.36858
WKK,Aleknagik /New Airport,Aleknagik,Alaska,US,59.28256,-158.61787
PRW,Prentice Airport,Prentice,Wisconsin,US,45.53833,-90.27633
NNK,Naknek Airport,Naknek,Alaska,US,58.73466,-157.02521
EGP,Maverick County Memorial International Airport,Eagle Pass,Texas,US,28.85709,-100.51347
MFH,Mesquite Airport,Mesquite,Nevada,US,36.83314,-114.05589
MMN,Minute Man Air Field,Stow,Massachusetts,US,42.46039,-71.51801
ECA,Iosco County Airport,East Tawas,Michigan,US,44.31283,-83.42231
NYS,New York Skyports Inc Seaplane Base,New York,New York,US,40.733991,-73.972916
OLH,Old Harbor Airport,Old Harbor,Alaska,US,57.21831,-153.26983
FMU,Florence Municipal Airport,Florence,Oregon,US,43.98282,-124.11137
OTS,Anacortes Airport,Anacortes,Washington,US,48.49851,-122.66247
ROL,Roosevelt Municipal Airport,Roosevelt,Utah,US,40.27841,-110.05138
WPO,North Fork Valley Airport,Paonia,Colorado,US,38.83131,-107.64586
ATE,Antlers Municipal Airport,Antlers,Oklahoma,US,34.19357,-95.64986
UGS,Ugashik Airport,Ugashik,Alaska,US,57.52343,-157.39599
WTL,Tuntutuliak Airport,Tuntutuliak,Alaska,US,60.35111,-162.65461
TWA,Twin Hills Airport,Twin Hills,Alaska,US,59.07453,-160.27504
KCQ,Chignik Lake Airport,Chignik Lake,Alaska,US,56.25546,-158.77783
AAF,Apalachicola Regional-Cleve Randolph Field,Apalachicola,Florida,US,29.72755,-85.02738
ABE,Lehigh Valley International Airport,Allentown,Pennsylvania,US,40.65236,-75.44041
ABI,Abilene Regional Airport,Abilene,Texas,US,32.41133,-99.68189
ABQ,Albuquerque International Sunport Airport,Albuquerque,New Mexico,US,35.03893,-106.60826
ABR,Aberdeen Regional Airport,Aberdeen,South Dakota,US,45.4468,-98.42244
ABY,Southwest Georgia Regional Airport,Albany,Georgia,US,31.53553,-84.19447
ACB,Antrim County Airport,Bellaire,Michigan,US,44.98858,-85.19835
ACK,Nantucket Memorial Airport,Nantucket,Massachusetts,US,41.3,-70.1
ACT,Waco Regional Airport,Waco,Texas,US,31.61219,-97.23031
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,California,US,40.97783,-124.10847
ACY,Atlantic City International Airport,Atlantic City,New Jersey,US,39.45758,-74.57717
ADG,Lenawee County Airport,Adrian,Michigan,US,41.86764,-84.07731
ADT,Ada Regional Airport,Ada,Oklahoma,US,34.80426,-96.6712
ADM,Ardmore Municipal Airport,Ardmore,Oklahoma,US,34.30387,-97.0206
ADS,Addison Airport,Dallas,Texas,US,32.96856,-96.83644
ADW,Joint Base Andrews Airport,Camp Springs,Maryland,US,38.81083,-76.86705
AEL,Albert Lea Municipal Airport,Albert Lea,Minnesota,US,43.68131,-93.36815
AEX,Alexandria International Airport,Alexandria,Louisiana,US,31.32737,-92.54856
AFF,Davis Field (Usaf Academy Field) Airport,Colorado Springs,Colorado,US,39.0,-104.8
WSG,Washington County Airport,Washington,Pennsylvania,US,40.13647,-80.29019
AFN,Jaffrey Airfield Silver Ranch Airport,Jaffrey,New Hampshire,US,42.80513,-72.00302
AFO,Afton Municipal Airport,Afton,Wyoming,US,42.70877,-110.94217
AFW,Perot Field/Fort Worth Alliance Airport,Fort Worth,Texas,US,33.0,-97.3
AGC,Allegheny County Airport,Pittsburgh,Pennsylvania,US,40.35444,-79.92905
AGO,Ralph C Weiser Field,Magnolia,Arkansas,US,33.22747,-93.217
AGS,Augusta Regional At Bush Field,Augusta,Georgia,US,33.36994,-81.9645
AHC,Amedee Army Air Field,Herlong,California,US,40.26592,-120.15061
AHH,Amery Municipal Airport,Amery,Wisconsin,US,45.28115,-92.37539
AHN,Athens/Ben Epps Airport,Athens,Georgia,US,33.94864,-83.32591
AIA,Alliance Municipal Airport,Alliance,Nebraska,US,42.05322,-102.80375
AID,Anderson Municipal-Darlington Field,Anderson,Indiana,US,40.10861,-85.613
AIK,Aiken Regional Airport,Aiken,South Carolina,US,33.64939,-81.68503
AIO,Atlantic Municipal Airport,Atlantic,Iowa,US,41.40383,-95.04875
AIV,George Downer Airport,Aliceville,Alabama,US,33.10674,-88.19718
AIZ,Lee C Fine Memorial Airport,Kaiser/Lake Ozark,Missouri,US,38.09603,-92.54947
AKO,Colorado Plains Regional Airport,Akron,Colorado,US,40.17564,-103.22203
AKC,Akron Fulton International Airport,Akron,Ohio,US,41.03742,-81.46768
ALB,Albany International Airport,Albany,New York,US,42.74912,-73.80198
ALI,Alice International Airport,Alice,Texas,US,27.74089,-98.02694
ALM,Alamogordo-White Sands Regional Airport,Alamogordo,New Mexico,US,32.83942,-105.99114
ALN,St Louis Regional Airport,Alton/St Louis,Illinois,US,38.88992,-90.046
ALO,Waterloo Regional Airport,Waterloo,Iowa,US,42.55845,-92.40102
ALS,San Luis Valley Regional/Bergman Field,Alamosa,Colorado,US,37.43512,-105.86788
ALW,Walla Walla Regional Airport,Walla Walla,Washington,US,46.09254,-118.28408
ALX,Thomas C Russell Field,Alexander City,Alabama,US,32.91475,-85.96294
AMA,Rick Husband Amarillo International Airport,Amarillo,Texas,US,35.21936,-101.70592
AMN,Gratiot Community Airport,Alma,Michigan,US,43.32214,-84.68794
AMW,Ames Municipal Airport,Ames,Iowa,US,41.99204,-93.62182
ANB,Anniston Regional Airport,Anniston,Alabama,US,33.58817,-85.85811
AND,Anderson Regional Airport,Anderson,South Carolina,US,34.49458,-82.70939
SLT,Salida/Harriett Alexander Field,Salida,Colorado,US,38.5,-106.0
ANP,Lee Airport,Annapolis,Maryland,US,38.94288,-76.5684
ANQ,Tri-State Steuben County Airport,Angola,Indiana,US,41.6397,-85.08349
ANW,Ainsworth Regional Airport,Ainsworth,Nebraska,US,42.57922,-99.99297
ANY,Anthony Municipal Airport,Anthony,Kansas,US,37.1599,-98.07953
AOH,Lima Allen County Airport,Lima,Ohio,US,40.70748,-84.02708
AOO,Altoona/Blair County Airport,Altoona,Pennsylvania,US,40.29636,-78.32003
APA,Centennial Airport,Denver,Colorado,US,39.57012,-104.84929
APC,Napa County Airport,Napa,California,US,38.21319,-122.28069
APF,Naples Municipal Airport,Naples,Florida,US,26.15244,-81.77564
APG,Phillips Army Air Field,Aberdeen Proving Grounds (Aberdeen),Maryland,US,39.5,-76.2
APH,Mary Walker Lz Airport,Bowling Green,Virginia,US,38.1,-77.3
APN,Alpena County Regional Airport,Alpena,Michigan,US,45.07808,-83.56031
APT,Marion County/Brown Field,Jasper,Tennessee,US,35.06067,-85.58531
APV,Apple Valley Airport,Apple Valley,California,US,34.6,-117.2
AQY,Girdwood Airport,Girdwood,Alaska,US,60.96902,-149.11935
ARA,Acadiana Regional Airport,New Iberia,Louisiana,US,30.03776,-91.8839
ARB,Ann Arbor Municipal Airport,Ann Arbor,Michigan,US,42.22293,-83.74571
ARG,Walnut Ridge Regional Airport,Walnut Ridge,Arkansas,US,36.12467,-90.92511
WHT,Wharton Regional Airport,Wharton,Texas,US,29.25428,-96.15439
AUZ,Aurora Municipal Airport,Chicago/Aurora,Illinois,US,41.77192,-88.47567
ART,Watertown International Airport,Watertown,New York,US,43.99183,-76.01942
ARV,Lakeland/Noble F Lee Memorial Field,Minocqua-Woodruff,Wisconsin,US,45.92792,-89.73094
BFT,Beaufort Executive Airport,Beaufort,South Carolina,US,32.4,-80.6
ASE,Aspen-Pitkin County/Sardy Field,Aspen,Colorado,US,39.22189,-106.86822
SPZ,Springdale Municipal Airport,Springdale,Arkansas,US,36.17639,-94.11925
ASH,Boire Field,Nashua,New Hampshire,US,42.78241,-71.51409
ASL,Harrison County Airport,Marshall,Texas,US,32.5205,-94.30778
ASN,Talladega Municipal Airport,Talladega,Alabama,US,33.5695,-86.0512
AST,Astoria Regional Airport,Astoria,Oregon,US,46.2,-123.9
ASX,John F Kennedy Memorial Airport,Ashland,Wisconsin,US,46.54853,-90.91897
ASY,Ashley Municipal Airport,Ashley,North Dakota,US,46.0,-99.4
ATL,Hartsfield - Jackson Atlanta International Airport,Atlanta,Georgia,US,33.6367,-84.42786
ATS,Artesia Municipal Airport,Artesia,New Mexico,US,32.85194,-104.46758
ATW,Appleton International Airport,Appleton,Wisconsin,US,44.25809,-88.51907
ATY,Watertown Regional Airport,Watertown,South Dakota,US,44.91397,-97.15472
AUG,Augusta State Airport,Augusta,Maine,US,44.32065,-69.79732
AUM,Austin Municipal Airport,Austin,Minnesota,US,43.66264,-92.93292
AUN,Auburn Municipal Airport,Auburn,California,US,38.95483,-121.08172
AUO,Auburn University Regional Airport,Auburn,Alabama,US,32.61511,-85.434
AUS,Austin-Bergstrom International Airport,Austin,Texas,US,30.19453,-97.66988
AUW,Wausau Downtown Airport,Wausau,Wisconsin,US,44.92628,-89.627
AVL,Asheville Regional Airport,Asheville,North Carolina,US,35.43611,-82.54205
AVO,Avon Park Executive Airport,Avon Park,Florida,US,27.6,-81.5
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,Pennsylvania,US,41.33847,-75.72339
AVW,Marana Regional Airport,Marana,Arizona,US,32.40956,-111.21839
AVX,Catalina Airport,Avalon,California,US,33.405,-118.41577
AWM,West Memphis Municipal Airport,West Memphis,Arkansas,US,35.13506,-90.23444
AXG,Algona Municipal Airport,Algona,Iowa,US,43.07792,-94.27194
AXN,Chandler Field,Alexandria,Minnesota,US,45.86631,-95.39467
AXS,Altus/Quartz Mountain Regional Airport,Altus,Oklahoma,US,34.69881,-99.33847
AXV,Neil Armstrong Airport,Wapakoneta,Ohio,US,40.5,-84.3
AXX,Angel Fire Airport,Angel Fire,New Mexico,US,36.422,-105.28991
AYS,Waycross-Ware County Airport,Waycross,Georgia,US,31.24839,-82.39539
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,Michigan,US,42.23439,-85.55156
BAB,Beale Afb Airport,Marysville,California,US,39.1,-121.4
BAD,Barksdale Afb Airport,Bossier City,Louisiana,US,32.50193,-93.66263
BAF,Westfield-Barnes Regional Airport,Westfield/Springfield,Massachusetts,US,42.15794,-72.71586
CLU,Columbus Municipal Airport,Columbus,Indiana,US,39.26192,-85.89634
BAM,Battle Mountain Airport,Battle Mountain,Nevada,US,40.59906,-116.87433
BBB,Benson Municipal Airport,Benson,Minnesota,US,45.33192,-95.65058
BBD,Curtis Field,Brady,Texas,US,31.17928,-99.32392
BKG,Branson Airport,Branson,Missouri,US,36.53208,-93.20054
BTN,Marlboro County Jetport - H E Avent Field,Bennettsville,South Carolina,US,34.62171,-79.73436
BBW,Broken Bow Municipal/Keith Glaze Field,Broken Bow,Nebraska,US,41.43644,-99.64217
BCB,Virginia Tech/Montgomery Executive Airport,Blacksburg,Virginia,US,37.2,-80.4
BCE,Bryce Canyon Airport,Bryce Canyon,Utah,US,37.7,-112.1
BCT,Boca Raton Airport,Boca Raton,Florida,US,26.37849,-80.1077
BDE,Baudette International Airport,Baudette,Minnesota,US,48.73025,-94.61106
BDG,Blanding Municipal Airport,Blanding,Utah,US,37.58333,-109.48328
BDL,Bradley International Airport,Windsor Locks,Connecticut,US,41.93903,-72.68432
BDR,Bridgeport/Sikorsky Airport,Bridgeport,Connecticut,US,41.16348,-73.12618
WBU,Boulder Municipal Airport,Boulder,Colorado,US,40.03937,-105.22609
BEC,Beech Factory Airport,Wichita,Kansas,US,37.69392,-97.21492
BED,Laurence G Hanscom Field,Bedford,Massachusetts,US,42.46994,-71.289
BEH,Southwest Michigan Regional Airport,Benton Harbor,Michigan,US,42.12838,-86.42488
BFD,Bradford Regional Airport,Bradford,Pennsylvania,US,41.80295,-78.63997
BFF,Western Nebraska Regional/William B Heilig Field,Scottsbluff,Nebraska,US,41.87403,-103.59564
BFI,Boeing Field/King County International Airport,Seattle,Washington,US,47.52997,-122.30194
BFL,Meadows Field,Bakersfield,California,US,35.43386,-119.05767
BFM,Mobile International Airport,Mobile,Alabama,US,30.62678,-88.06809
BFR,Virgil I Grissom Municipal Airport,Bedford,Indiana,US,38.84003,-86.44536
BGD,Hutchinson County Airport,Borger,Texas,US,35.70089,-101.39367
BGE,Decatur County Industrial Air Park,Bainbridge,Georgia,US,30.9716,-84.63693
BGM,Greater Binghamton/Edwin A Link Field,Binghamton,New York,US,42.20844,-75.97961
BGR,Bangor International Airport,Bangor,Maine,US,44.80744,-68.82814
BHB,Hancock County/Bar Harbor Airport,Bar Harbor,Maine,US,44.44971,-68.36149
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,Alabama,US,33.56389,-86.75231
BID,Block Island State Airport,Block Island,Rhode Island,US,41.16811,-71.57783
BIE,Beatrice Municipal Airport,Beatrice,Nebraska,US,40.30128,-96.75411
BIF,Biggs Army Air Field (Fort Bliss) Airport,Fort Bliss/El Paso/,Texas,US,31.84953,-106.38005
BIH,Bishop Airport,Bishop,California,US,37.37311,-118.36361
BIL,Billings Logan International Airport,Billings,Montana,US,45.80785,-108.54354
BIS,Bismarck Municipal Airport,Bismarck,North Dakota,US,46.77273,-100.74574
BIX,Keesler Afb Airport,Biloxi,Mississippi,US,30.41043,-88.92444
BJC,Rocky Mountain Metro Airport,Denver,Colorado,US,39.90881,-105.11719
BJI,Bemidji Regional Airport,Bemidji,Minnesota,US,47.51072,-94.93472
BJJ,Wayne County Airport,Wooster,Ohio,US,40.87483,-81.88825
BKD,Stephens County Airport,Breckenridge,Texas,US,32.71876,-98.8916
BKE,Baker City Municipal Airport,Baker City,Oregon,US,44.83733,-117.80914
BFK,Buckley Space Force Base Airport,Aurora,Colorado,US,39.70176,-104.75196
BKL,Burke Lakefront Airport,Cleveland,Ohio,US,41.51786,-81.68264
BWL,Blackwell-Tonkawa Municipal Airport,Blackwell,Oklahoma,US,36.74511,-97.34958
BKT,Allen C Perkinson Blackstone Army Air Field,Blackstone,Virginia,US,37.07477,-77.9566
BKW,Raleigh County Memorial Airport,Beckley,West Virginia,US,37.78733,-81.12417
BKX,Brookings Regional Airport,Brookings,South Dakota,US,44.30453,-96.81892
BLF,Mercer County Airport,Bluefield,West Virginia,US,37.29595,-81.20752
BLH,Blythe Airport,Blythe,California,US,33.61917,-114.71689
BLI,Bellingham International Airport,Bellingham,Washington,US,48.79269,-122.53753
BLM,Monmouth Executive Airport,Belmar/Farmingdale,New Jersey,US,40.2,-74.1
BLU,Blue Canyon - Nyack Airport,Emigrant Gap,California,US,39.27497,-120.70975
BLV,Scott Afb/Midamerica St Louis Airport,Belleville,Illinois,US,38.54517,-89.83519
BMC,Brigham City Regional Airport,Brigham City,Utah,US,41.55431,-112.06225
BMG,Monroe County Airport,Bloomington,Indiana,US,39.14602,-86.61668
BMI,Central Il Regional/Bloomington-Normal Airport,Bloomington/Normal,Illinois,US,40.47711,-88.91592
BML,Berlin Regional Airport,Berlin,New Hampshire,US,44.57536,-71.17592
BMT,Beaumont Municipal Airport,Beaumont,Texas,US,30.0702,-94.2151
BNA,Nashville International Airport,Nashville,Tennessee,US,36.12447,-86.67818
BNG,Banning Municipal Airport,Banning,California,US,33.92256,-116.85097
BNL,Barnwell Regional Airport,Barnwell,South Carolina,US,33.25767,-81.38822
BNO,Burns Municipal Airport,Burns,Oregon,US,43.6,-119.0
BNW,Boone Municipal Airport,Boone,Iowa,US,42.04956,-93.84761
BOI,Boise Air Trml/Gowen Field,Boise,Idaho,US,43.56436,-116.22286
BOK,Brookings Airport,Brookings,Oregon,US,42.07394,-124.28978
BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US,42.36294,-71.00639
BOW,Bartow Executive Airport,Bartow,Florida,US,27.9,-81.8
HCA,Big Spring Mc Mahon-Wrinkle Airport,Big Spring,Texas,US,32.21261,-101.52164
BPI,Miley Memorial Field,Big Piney,Wyoming,US,42.58222,-110.10886
WMH,Baxter County Airport,Mountain Home,Arkansas,US,36.36894,-92.47052
BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,Texas,US,30.0,-94.0
BQK,Brunswick Golden Isles Airport,Brunswick,Georgia,US,31.25903,-81.46632
BRD,Brainerd Lakes Regional Airport,Brainerd,Minnesota,US,46.40422,-94.13381
BRL,Southeast Iowa Regional Airport,Burlington,Iowa,US,40.78297,-91.12558
BRO,Brownsville/South Padre Island International Airport,Brownsville,Texas,US,25.90614,-97.426
BRY,Samuels Field,Bardstown,Kentucky,US,37.81433,-85.49964
BTF,Skypark Airport,Bountiful,Utah,US,40.86815,-111.9275
BTL,Battle Creek Executive At Kellogg Field,Battle Creek,Michigan,US,42.3,-85.3
BTM,Bert Mooney Airport,Butte,Montana,US,45.95481,-112.49747
TTO,Britton Municipal Airport,Britton,South Dakota,US,45.81503,-97.74281
BTP,Pittsburgh/Butler Regional Airport,Butler,Pennsylvania,US,40.77658,-79.95108
BTR,"Baton Rouge Metro, Ryan Field",Baton Rouge,Louisiana,US,30.53292,-91.14989
BTV,Patrick Leahy Burlington International Airport,Burlington,Vermont,US,44.5,-73.2
BTY,Beatty Airport,Beatty,Nevada,US,36.86114,-116.78639
BUB,Cram Field,Burwell,Nebraska,US,41.77758,-99.15021
BUF,Buffalo Niagara International Airport,Buffalo,New York,US,42.94043,-78.73057
BUM,Butler Memorial Airport,Butler,Missouri,US,38.28977,-94.34013
BUR,Bob Hope Airport,Burbank,California,US,34.20069,-118.35867
BFP,Beaver County Airport,Beaver Falls,Pennsylvania,US,40.77247,-80.39144
BVO,Bartlesville Municipal Airport,Bartlesville,Oklahoma,US,36.76336,-96.01119
MVW,Skagit Regional Airport,Burlington/Mount Vernon,Washington,US,48.47053,-122.42169
BLD,Boulder City Municipal Airport,Boulder City,Nevada,US,35.94731,-114.86108
BVX,Batesville Regional Airport,Batesville,Arkansas,US,35.72622,-91.64744
BVY,Beverly Regional Airport,Beverly,Massachusetts,US,42.58414,-70.91614
BWC,Brawley Municipal Airport,Brawley,California,US,32.99294,-115.51726
BWD,Brownwood Regional Airport,Brownwood,Texas,US,31.79361,-98.9565
BWG,Bowling Green-Warren County Regional Airport,Bowling Green,Kentucky,US,36.96453,-86.41967
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,Maryland,US,39.17573,-76.66899
WAH,Harry Stern Airport,Wahpeton,North Dakota,US,46.24429,-96.60716
BXA,George R Carr Memorial Air Field,Bogalusa,Louisiana,US,30.81369,-89.86496
BXK,Buckeye Municipal Airport,Buckeye,Arizona,US,33.42253,-112.68623
NHZ,Brunswick Executive Airport,Brunswick,Maine,US,43.9,-69.9
BYA,Boundary Airport,Boundary,Alaska,US,64.0783,-141.11337
BYG,Johnson County Airport,Buffalo,Wyoming,US,44.38108,-106.72181
BYH,Arkansas International Airport,Blytheville,Arkansas,US,35.96433,-89.94394
